pid,interface,clip,label,position,listened_ms,liked,taste_match,relevance,replay,save,eval_composite,extraversion,agreeableness,conscientiousness,emot_stability,openness,rec_trust_reliance,openness_c,agreeableness_c,conscientiousness_c,emot_stability_c,extraversion_c,rec_trust_reliance_c,agr_group
R_21KNAf5ZypKohKF,AppleMusic-style,clip1,New,1,11986,6,5,2,6,5,4.8,2.5,4.5,6.5,6,5,5.5,-0.09166666666666679,-0.11666666666666625,1.2000000000000002,1.1166666666666663,-1.5875000000000004,0.5354166666666664,High agreeableness
R_21KNAf5ZypKohKF,AppleMusic-style,clip2,None,4,20950,5,4,3,6,5,4.6,2.5,4.5,6.5,6,5,5.5,-0.09166666666666679,-0.11666666666666625,1.2000000000000002,1.1166666666666663,-1.5875000000000004,0.5354166666666664,High agreeableness
R_21KNAf5ZypKohKF,AppleMusic-style,clip3,Recommended,2,12065,5,5,4,5,5,4.8,2.5,4.5,6.5,6,5,5.5,-0.09166666666666679,-0.11666666666666625,1.2000000000000002,1.1166666666666663,-1.5875000000000004,0.5354166666666664,High agreeableness
R_21KNAf5ZypKohKF,AppleMusic-style,clip4,Recommended,5,7809,6,6,4,6,6,5.6,2.5,4.5,6.5,6,5,5.5,-0.09166666666666679,-0.11666666666666625,1.2000000000000002,1.1166666666666663,-1.5875000000000004,0.5354166666666664,High agreeableness
R_21KNAf5ZypKohKF,AppleMusic-style,clip5,New,6,13673,6,6,4,6,6,5.6,2.5,4.5,6.5,6,5,5.5,-0.09166666666666679,-0.11666666666666625,1.2000000000000002,1.1166666666666663,-1.5875000000000004,0.5354166666666664,High agreeableness
R_21KNAf5ZypKohKF,AppleMusic-style,clip6,None,3,6807,5,5,3,5,5,4.6,2.5,4.5,6.5,6,5,5.5,-0.09166666666666679,-0.11666666666666625,1.2000000000000002,1.1166666666666663,-1.5875000000000004,0.5354166666666664,High agreeableness
R_2m7BSt56sdlCsnB,Neutral,clip1,New,2,31658,6,6,6,6,6,6,4.5,6,2.5,3.5,5,5,-0.09166666666666679,1.3833333333333337,-2.8,-1.3833333333333337,0.41249999999999964,0.03541666666666643,High agreeableness
R_2m7BSt56sdlCsnB,Neutral,clip2,None,3,31666,5,5,4,3,3,4,4.5,6,2.5,3.5,5,5,-0.09166666666666679,1.3833333333333337,-2.8,-1.3833333333333337,0.41249999999999964,0.03541666666666643,High agreeableness
R_2m7BSt56sdlCsnB,Neutral,clip3,Recommended,1,31662,5,3,4,5,5,4.4,4.5,6,2.5,3.5,5,5,-0.09166666666666679,1.3833333333333337,-2.8,-1.3833333333333337,0.41249999999999964,0.03541666666666643,High agreeableness
R_2m7BSt56sdlCsnB,Neutral,clip4,Recommended,6,31680,6,6,4,6,6,5.6,4.5,6,2.5,3.5,5,5,-0.09166666666666679,1.3833333333333337,-2.8,-1.3833333333333337,0.41249999999999964,0.03541666666666643,High agreeableness
R_2m7BSt56sdlCsnB,Neutral,clip5,None,5,31669,6,5,5,6,6,5.6,4.5,6,2.5,3.5,5,5,-0.09166666666666679,1.3833333333333337,-2.8,-1.3833333333333337,0.41249999999999964,0.03541666666666643,High agreeableness
R_2m7BSt56sdlCsnB,Neutral,clip6,New,4,31667,2,3,3,2,2,2.4,4.5,6,2.5,3.5,5,5,-0.09166666666666679,1.3833333333333337,-2.8,-1.3833333333333337,0.41249999999999964,0.03541666666666643,High agreeableness
R_3MaJxQQT43UtUou,AppleMusic-style,clip1,New,4,31830,5,5,5,5,2,4.4,3.5,3.5,7,6,6,4.25,0.9083333333333332,-1.1166666666666663,1.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_3MaJxQQT43UtUou,AppleMusic-style,clip2,None,5,31781,6,6,6,6,6,6,3.5,3.5,7,6,6,4.25,0.9083333333333332,-1.1166666666666663,1.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_3MaJxQQT43UtUou,AppleMusic-style,clip3,None,6,31815,4,3,3,3,2,3,3.5,3.5,7,6,6,4.25,0.9083333333333332,-1.1166666666666663,1.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
R_3MaJxQQT43UtUou,AppleMusic-style,clip4,Recommended,2,31695,5,5,5,4,4,4.6,3.5,3.5,7,6,6,4.25,0.9083333333333332,-1.1166666666666663,1.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.7145833333333336,Low agreeableness
