effect,group,term,estimate,std.error,statistic,df,p.value,model
fixed,NA,(Intercept),4.141579704898065,0.15086044618246494,27.453052206201523,497.23470839311693,1.1250215506085105e-101,H3a_openness
fixed,NA,labelNew,0.013666822073459048,0.11001805040804713,0.1242234526313639,595.0059078258661,0.9011803071894596,H3a_openness
fixed,NA,labelRecommended,0.07419416740670141,0.11008197968637243,0.6739901264319855,595.0073534036533,0.5005793354328241,H3a_openness
fixed,NA,openness_c,-0.052000230163089405,0.10677595008032793,-0.48700320740737446,233.03288762614793,0.6267138175974966,H3a_openness
fixed,NA,position,-0.09704856889137561,0.026218889369987165,-3.701475204455738,596.2495185733756,2.3421240028196106e-4,H3a_openness
fixed,NA,labelNew:openness_c,0.03298012043011449,0.10150364735253253,0.32491561919515227,595.0016141093523,0.7453591429791797,H3a_openness
fixed,NA,labelRecommended:openness_c,0.1638795312544687,0.10151001160570154,1.6144174221064125,595.0017707401072,0.10696706152655854,H3a_openness
ran_pars,pid,sd__(Intercept),0.9371130471717225,NA,NA,NA,NA,H3a_openness
ran_pars,clip,sd__(Intercept),0,NA,NA,NA,NA,H3a_openness
ran_pars,Residual,sd__Observation,1.2029744610697006,NA,NA,NA,NA,H3a_openness
fixed,NA,(Intercept),4.134310934789965,0.1509276838886563,27.39266136118517,230.65455781636243,1.8617435939144603e-74,H3b_agreeableness
fixed,NA,labelNew,0.015563367992659073,0.10885240488484399,0.14297679513028408,593.4978505045267,0.886357034638553,H3b_agreeableness
fixed,NA,labelRecommended,0.07742670929807897,0.10896768443405135,0.7105474407409164,595.0067220298317,0.47764312957256716,H3b_agreeableness
fixed,NA,agreeableness_c,-0.045081651620982516,0.10700951585037327,-0.42128638058710793,232.445023800612,0.6739352703470858,H3b_agreeableness
fixed,NA,position,-0.09546841358016302,0.025962047811602117,-3.67722971134424,593.6926696063969,2.571726128853919e-4,H3b_agreeableness
fixed,NA,labelNew:agreeableness_c,0.09782508666922755,0.10152780242270001,0.9635300315271613,587.6104988169482,0.33567794545042606,H3b_agreeableness
fixed,NA,labelRecommended:agreeableness_c,0.38292094980514535,0.10159137509224596,3.7692269590548353,581.3638559962293,1.8047157239292882e-4,H3b_agreeableness
ran_pars,pid,sd__(Intercept),0.9317699616274483,NA,NA,NA,NA,H3b_agreeableness
ran_pars,clip,sd__(Intercept),0.04965230634658512,NA,NA,NA,NA,H3b_agreeableness
ran_pars,Residual,sd__Observation,1.1897643673509557,NA,NA,NA,NA,H3b_agreeableness
fixed,NA,(Intercept),4.143156948120955,0.14503685091860996,28.56623624878592,250.0607747356222,1.0526771048580442e-80,H3c_trust_reliance
fixed,NA,labelNew,0.01381069819640493,0.11001566056721916,0.12553392967146387,593.8269269434151,0.9001433526134857,H3c_trust_reliance
fixed,NA,labelRecommended,0.0748056279163008,0.1100932754450746,0.6794749962146528,594.8901330297765,0.49710123567273323,H3c_trust_reliance
fixed,NA,rec_trust_reliance_c,0.4669751349862033,0.11097175126215932,4.208054118953415,263.1419363774189,3.536894206324774e-5,H3c_trust_reliance
fixed,NA,position,-0.09756846463250292,0.026213433317750952,-3.722078807831421,591.64734008365,2.164491154853755e-4,H3c_trust_reliance
fixed,NA,labelNew:rec_trust_reliance_c,-0.07787814088843664,0.11347487450597869,-0.6863029479211581,593.2763374174664,0.49279021661691835,H3c_trust_reliance
fixed,NA,labelRecommended:rec_trust_reliance_c,0.11198572515151935,0.11347553724076243,0.9868710726076394,592.7561956974979,0.32410849750448445,H3c_trust_reliance
ran_pars,pid,sd__(Intercept),0.8126959288616981,NA,NA,NA,NA,H3c_trust_reliance
ran_pars,clip,sd__(Intercept),0.02379254503842727,NA,NA,NA,NA,H3c_trust_reliance
ran_pars,Residual,sd__Observation,1.202829254176357,NA,NA,NA,NA,H3c_trust_reliance
